"year","discards_mt-Halibut","discards_mt-Non-halibut","landings_mt-Halibut","landings_mt-Non-halibut"
2002,0,0,36.140147873,6.934727385
2003,2.806558779,84.100052659,25.706035562,1.35829629
2004,7.133401734,265.236412064,70.784999546,8.934364508
2005,5.431903138,294.077048423,64.509933775,8.800235871
2006,0,0,54.8323959,8.168828811
2007,21.872373698,103.543113567,39.16615259,8.27905289
2008,13.306097072,242.795448277,51.819732378,12.438814296
2009,3.45386654,79.870369049,82.343184251,9.7143382
2011,6.077957383,251.041665111,79.890494421,16.034926973
2012,0.335733592,293.917406156,55.295287127,16.390388279
2013,0.826073765,327.970110248,68.978794793,14.797382744
2014,5.968354052,322.898883575,80.951359884,21.587766486
2015,11.274861312,266.552755143,91.982863104,23.882373222
2016,15.572722057,199.900936714,89.545222716,17.343402432
2017,22.488075803,308.00970466,92.799794933,29.511758185
2018,28.792422608,218.435137426,72.368069491,19.708618344
2019,53.701039884,440.792721763,120.650159213,27.425494873
2020,47.948801664,333.134363903,91.665345641,15.370679491
