"year","halibut_landings_n","non_halibut_landings_n","halibut_discards_n","non_halibut_discards_n"
2000,30527,16105,NA,NA
2001,25186,13938,NA,NA
2002,26491,13314,118,30
2003,16103,8529,359,349
2004,14627,5591,1864,39
2005,7663,6529,561,163
2006,6660,4263,395,47
2007,6627,3699,534,163
2008,8405,4282,490,93
2009,9737,4197,688,95
2010,6734,2491,326,83
2011,6082,3408,216,84
2012,4940,2883,259,45
2013,2091,1132,116,26
2014,1468,3003,95,312
2015,2254,2164,203,209
2016,4318,5978,258,607
2017,459,116,38,0
2018,484,1102,34,160
2019,15469,16932.05,273,1872
2020,8746,8099,126,1169
